ID,Sport,League,Home,Away,Time
ice_hockey:froelunda hc:skellefteaa:20260122,ice_hockey,SHL,SHL: Froelunda HC,Skellefteaa,2026-01-22 18:00:00
ice_hockey:hv 71:linkoeping:20260122,ice_hockey,SHL,SHL: HV 71,Linkoeping,2026-01-22 18:00:00
ice_hockey:islanders:canucks:20260120,ice_hockey,NHL,Islanders,Canucks,2026-01-20 03:00:00
ice_hockey:lehigh valley phantoms:bridgeport islanders:20260119,ice_hockey,AHL,AHL: Lehigh Valley Phantoms,Bridgeport Islanders,2026-01-19 18:00:00
ice_hockey:leksands:roegle:20260122,ice_hockey,SHL,SHL: Leksands IF,Roegle,2026-01-22 18:00:00
ice_hockey:penguins:kraken:20260119,ice_hockey,NHL,Penguins,Kraken,2026-01-19 22:00:00
ice_hockey:rangers:ducks:20260120,ice_hockey,NHL,Rangers,Ducks,2026-01-20 03:00:00
ice_hockey:rochester americans:syracuse crunch:20260119,ice_hockey,AHL,AHL: Rochester Americans,Syracuse Crunch,2026-01-19 18:00:00
ice_hockey:sharks:panthers:20260120,ice_hockey,NHL,Sharks,Panthers,2026-01-20 00:00:00
ice_hockey:sparta prague:mountfield hk:20260120,ice_hockey,Czech Extraliga,CEHL: Sparta Prague,Mountfield HK,2026-01-20 17:30:00
ice_hockey:wild:maple leafs:20260120,ice_hockey,NHL,Wild,Maple Leafs,2026-01-20 00:30:00
ice_hockey:wilkesbarrescranton penguins:springfield thunderbirds:20260119,ice_hockey,AHL,AHL: Wilkes-Barre/Scranton Penguins,Springfield Thunderbirds,2026-01-19 20:05:00
tennis:alexander bublik:marton fucsovics:20260121,tennis,ATP,Men's: Alexander Bublik,Marton Fucsovics,2026-01-21 00:00:00
tennis:anastasia potapova:emma raducanu:20260121,tennis,WTA,Women's: Anastasia Potapova,Emma Raducanu,2026-01-21 00:00:00
tennis:aryna sabalenka:zhuoxuan bai:20260121,tennis,WTA,Women's: Aryna Sabalenka,Zhuoxuan Bai,2026-01-21 00:00:00
tennis:carlos alcaraz:yannick hanfmann:20260121,tennis,ATP,Men's: Carlos Alcaraz,Yannick Hanfmann,2026-01-21 00:00:00
tennis:emilio nava:cameron norrie:20260121,tennis,ATP,Men's: Emilio Nava,Cameron Norrie,2026-01-21 00:00:00
tennis:frances tiafoe:francisco comesana:20260121,tennis,ATP,Men's: Frances Tiafoe,Francisco Comesana,2026-01-21 00:00:00
tennis:francisco cerundolo:damir dzumhur:20260121,tennis,ATP,Men's: Francisco Cerundolo,Damir Dzumhur,2026-01-21 00:00:00
tennis:michael zheng:corentin moutet:20260121,tennis,ATP,Men's: Michael Zheng,Corentin Moutet,2026-01-21 00:00:00
tennis:tomas etcheverry:arthur fery:20260121,tennis,ATP,Men's: Tomas Etcheverry,Arthur Fery,2026-01-21 00:00:00
tennis:yulia putintseva:elsa jacquemot:20260121,tennis,WTA,Women's: Yulia Putintseva,Elsa Jacquemot,2026-01-21 00:00:00
